row_in_page,MSA/County,Active In-State Texas Attorneys2 (12-31-16),Texas Population3 (07-01-16),Ratio of Attorneys to Population,Attorneys as a Percent of Total In-State Attorneys4,Population as a Percent of Total Texas Population4,docu_name,page_number,potential_counties_detected,Active In-State Texas Attorneys (12-31-16),Texas Population (07-01-16),Attorneys as a Percent of Total In-State Attorneys,Population as a Percent of Total Texas Population,Active In-State Texas Attorneys2,Attorneys as a Percent of Total In-State Texas Attorneys4,MSA,County,Texas Attorneys2,Population3,Texas Attorneys (12-31-11),Population (07-01-11),Texas Attorneys Percent of Total,Population Percent of Total,Texas Attorneys2 (12-31-11),Population3 (07-01-11),Percent of Total In-State Attorneys4,Percent of Total Texas Population4,Percent of Total In-State Attorneys,Percent of Total Texas Population,Attorneys2 (12-31-11),Ratio of Texas Attorneys to Population,Texas Attorneys Percent of Total In-State Attorneys4,Population Percent of Total Texas Population4,Population Percent of Total In-State Attorneys4,Texas Attorneys,Texas Population
25,.Calhoun County,,,"1:1,072",,,PopulationDensityReport11-12.pdf,2,29,,,,,,,,,,,,,,,20.0,21442.0,0.02%,0.08%,,,,,,,,,
26,.Goliad County,,,1:905,,,PopulationDensityReport11-12.pdf,2,29,,,,,,,,,,,,,,,8.0,7243.0,0.01%,0.03%,,,,,,,,,
27,.Victoria County,,,1:515,,,PopulationDensityReport11-12.pdf,2,29,,,,,,,,,,,,,,,170.0,87545.0,0.21%,0.34%,,,,,,,,,
0,.McLennan County,,,1:398,,,PopulationDensityReport11-12.pdf,3,36,,,,,,,,,,,599,238564,,,,,,,0.74%,0.93%,,,,,,,
1,.Archer County,,,"1:1,474",,,PopulationDensityReport11-12.pdf,3,36,,,,,,,,,,,6,8842,,,,,,,0.01%,0.03%,,,,,,,
2,.Clay County,,,"1:2,144",,,PopulationDensityReport11-12.pdf,3,36,,,,,,,,,,,5,10721,,,,,,,0.01%,0.04%,,,,,,,
3,.Wichita County,,,1:611,,,PopulationDensityReport11-12.pdf,3,36,,,,,,,,,,,214,130698,,,,,,,0.27%,0.51%,,,,,,,
4,.Anderson County,,,"1:1,023",,,PopulationDensityReport11-12.pdf,3,36,,,,,,,,,,,57,58308,,,,,,,0.07%,0.23%,,,,,,,
5,.Andrews County,,,"1:1,545",,,PopulationDensityReport11-12.pdf,3,36,,,,,,,,,,,10,15445,,,,,,,0.01%,0.06%,,,,,,,
6,.Angelina County,,,1:631,,,PopulationDensityReport11-12.pdf,3,36,,,,,,,,,,,139,87669,,,,,,,0.17%,0.34%,,,,,,,
7,.Bailey County,,,"1:2,416",,,PopulationDensityReport11-12.pdf,3,36,,,,,,,,,,,3,7247,,,,,,,0.00%,0.03%,,,,,,,
8,.Baylor County,,,"1:1,871",,,PopulationDensityReport11-12.pdf,3,36,,,,,,,,,,,2,3741,,,,,,,0.00%,0.01%,,,,,,,
9,.Bee County,,,"1:1,189",,,PopulationDensityReport11-12.pdf,3,36,,,,,,,,,,,27,32095,,,,,,,0.03%,0.13%,,,,,,,
10,.Blanco County,,,1:442,,,PopulationDensityReport11-12.pdf,3,36,,,,,,,,,,,24,10600,,,,,,,0.03%,0.04%,,,,,,,
11,.Borden County,,,1:--,,,PopulationDensityReport11-12.pdf,3,36,,,,,,,,,,,0,626,,,,,,,0.00%,0.00%,,,,,,,
12,.Bosque County,,,"1:1,077",,,PopulationDensityReport11-12.pdf,3,36,,,,,,,,,,,17,18306,,,,,,,0.02%,0.07%,,,,,,,
13,.Brewster County,,,1:261,,,PopulationDensityReport11-12.pdf,3,36,,,,,,,,,,,36,9386,,,,,,,0.04%,0.04%,,,,,,,
14,.Briscoe County,,,"1:1,651",,,PopulationDensityReport11-12.pdf,3,36,,,,,,,,,,,1,1651,,,,,,,0.00%,0.01%,,,,,,,
15,.Brooks County,,,"1:2,407",,,PopulationDensityReport11-12.pdf,3,36,,,,,,,,,,,3,7222,,,,,,,0.00%,0.03%,,,,,,,
16,.Brown County,,,1:764,,,PopulationDensityReport11-12.pdf,3,36,,,,,,,,,,,50,38186,,,,,,,0.06%,0.15%,,,,,,,
17,.Burnet County,,,1:653,,,PopulationDensityReport11-12.pdf,3,36,,,,,,,,,,,66,43117,,,,,,,0.08%,0.17%,,,,,,,
18,.Camp County,,,"1:1,379",,,PopulationDensityReport11-12.pdf,3,36,,,,,,,,,,,9,12407,,,,,,,0.01%,0.05%,,,,,,,
19,.Cass County,,,"1:1,441",,,PopulationDensityReport11-12.pdf,3,36,,,,,,,,,,,21,30256,,,,,,,0.03%,0.12%,,,,,,,
20,.Castro County,,,"1:1,623",,,PopulationDensityReport11-12.pdf,3,36,,,,,,,,,,,5,8116,,,,,,,0.01%,0.03%,,,,,,,
21,.Cherokee County,,,1:882,,,PopulationDensityReport11-12.pdf,3,36,,,,,,,,,,,58,51140,,,,,,,0.07%,0.20%,,,,,,,
22,.Childress County,,,1:873,,,PopulationDensityReport11-12.pdf,3,36,,,,,,,,,,,8,6984,,,,,,,0.01%,0.03%,,,,,,,
23,.Cochran County,,,"1:3,109",,,PopulationDensityReport11-12.pdf,3,36,,,,,,,,,,,1,3109,,,,,,,0.00%,0.01%,,,,,,,
24,.Coke County,,,"1:3,305",,,PopulationDensityReport11-12.pdf,3,36,,,,,,,,,,,1,3305,,,,,,,0.00%,0.01%,,,,,,,
25,.Coleman County,,,"1:1,095",,,PopulationDensityReport11-12.pdf,3,36,,,,,,,,,,,8,8763,,,,,,,0.01%,0.03%,,,,,,,
26,.Collingsworth County,,,"1:1,546",,,PopulationDensityReport11-12.pdf,3,36,,,,,,,,,,,2,3092,,,,,,,0.00%,0.01%,,,,,,,
27,.Colorado County,,,1:946,,,PopulationDensityReport11-12.pdf,3,36,,,,,,,,,,,22,20816,,,,,,,0.03%,0.08%,,,,,,,
28,.Comanche County,,,1:817,,,PopulationDensityReport11-12.pdf,3,36,,,,,,,,,,,17,13891,,,,,,,0.02%,0.05%,,,,,,,
29,.Concho County,,,"1:4,081",,,PopulationDensityReport11-12.pdf,3,36,,,,,,,,,,,1,4081,,,,,,,0.00%,0.02%,,,,,,,
30,.Cooke County,,,1:817,,,PopulationDensityReport11-12.pdf,3,36,,,,,,,,,,,47,38396,,,,,,,0.06%,0.15%,,,,,,,
31,.Cottle County,,,1:750,,,PopulationDensityReport11-12.pdf,3,36,,,,,,,,,,,2,1499,,,,,,,0.00%,0.01%,,,,,,,
32,.Crane County,,,"1:2,192",,,PopulationDensityReport11-12.pdf,3,36,,,,,,,,,,,2,4383,,,,,,,0.00%,0.02%,,,,,,,
33,.Crockett County,,,1:310,,,PopulationDensityReport11-12.pdf,3,36,,,,,,,,,,,12,3722,,,,,,,0.01%,0.01%,,,,,,,
34,.Culberson County,,,"1:1,192",,,PopulationDensityReport11-12.pdf,3,36,,,,,,,,,,,2,2383,,,,,,,0.00%,0.01%,,,,,,,
0,.Dallam County,,,1:687,,,PopulationDensityReport11-12.pdf,4,45,,,,,,,,,,,,,,,10.0,6866.0,0.01%,0.03%,,,,,,,,,
1,.Dawson County,,,"1:1,528",,,PopulationDensityReport11-12.pdf,4,45,,,,,,,,,,,,,,,9.0,13751.0,0.01%,0.05%,,,,,,,,,
2,.Deaf Smith County,,,"1:1,400",,,PopulationDensityReport11-12.pdf,4,45,,,,,,,,,,,,,,,14.0,19595.0,0.02%,0.08%,,,,,,,,,
3,.DeWitt County,,,"1:1,350",,,PopulationDensityReport11-12.pdf,4,45,,,,,,,,,,,,,,,15.0,20255.0,0.02%,0.08%,,,,,,,,,
4,.Dickens County,,,"1:2,402",,,PopulationDensityReport11-12.pdf,4,45,,,,,,,,,,,,,,,1.0,2402.0,0.00%,0.01%,,,,,,,,,
5,.Dimmit County,,,1:843,,,PopulationDensityReport11-12.pdf,4,45,,,,,,,,,,,,,,,12.0,10118.0,0.01%,0.04%,,,,,,,,,
6,.Donley County,,,1:730,,,PopulationDensityReport11-12.pdf,4,45,,,,,,,,,,,,,,,5.0,3651.0,0.01%,0.01%,,,,,,,,,
7,.Duval County,,,"1:1,459",,,PopulationDensityReport11-12.pdf,4,45,,,,,,,,,,,,,,,8.0,11669.0,0.01%,0.05%,,,,,,,,,
8,.Eastland County,,,1:601,,,PopulationDensityReport11-12.pdf,4,45,,,,,,,,,,,,,,,31.0,18633.0,0.04%,0.07%,,,,,,,,,
9,.Edwards County,,,1:655,,,PopulationDensityReport11-12.pdf,4,45,,,,,,,,,,,,,,,3.0,1966.0,0.00%,0.01%,,,,,,,,,
10,.Erath County,,,1:649,,,PopulationDensityReport11-12.pdf,4,45,,,,,,,,,,,,,,,59.0,38266.0,0.07%,0.15%,,,,,,,,,
11,.Falls County,,,"1:1,794",,,PopulationDensityReport11-12.pdf,4,45,,,,,,,,,,,,,,,10.0,17944.0,0.01%,0.07%,,,,,,,,,
12,.Fannin County,,,"1:1,698",,,PopulationDensityReport11-12.pdf,4,45,,,,,,,,,,,,,,,20.0,33958.0,0.02%,0.13%,,,,,,,,,
13,.Fayette County,,,1:538,,,PopulationDensityReport11-12.pdf,4,45,,,,,,,,,,,,,,,46.0,24732.0,0.06%,0.10%,,,,,,,,,
14,.Fisher County,,,"1:1,957",,,PopulationDensityReport11-12.pdf,4,45,,,,,,,,,,,,,,,2.0,3914.0,0.00%,0.02%,,,,,,,,,
15,.Floyd County,,,"1:1,066",,,PopulationDensityReport11-12.pdf,4,45,,,,,,,,,,,,,,,6.0,6394.0,0.01%,0.02%,,,,,,,,,
16,.Foard County,,,1:671,,,PopulationDensityReport11-12.pdf,4,45,,,,,,,,,,,,,,,2.0,1341.0,0.00%,0.01%,,,,,,,,,
17,.Franklin County,,,"1:1,172",,,PopulationDensityReport11-12.pdf,4,45,,,,,,,,,,,,,,,9.0,10551.0,0.01%,0.04%,,,,,,,,,
18,.Freestone County,,,1:820,,,PopulationDensityReport11-12.pdf,4,45,,,,,,,,,,,,,,,24.0,19684.0,0.03%,0.08%,,,,,,,,,
19,.Frio County,,,"1:1,450",,,PopulationDensityReport11-12.pdf,4,45,,,,,,,,,,,,,,,12.0,17400.0,0.01%,0.07%,,,,,,,,,
20,.Gaines County,,,"1:3,601",,,PopulationDensityReport11-12.pdf,4,45,,,,,,,,,,,,,,,5.0,18003.0,0.01%,0.07%,,,,,,,,,
21,.Garza County,,,"1:3,281",,,PopulationDensityReport11-12.pdf,4,45,,,,,,,,,,,,,,,2.0,6562.0,0.00%,0.03%,,,,,,,,,
22,.Gillespie County,,,1:405,,,PopulationDensityReport11-12.pdf,4,45,,,,,,,,,,,,,,,62.0,25114.0,0.08%,0.10%,,,,,,,,,
23,.Glasscock County,,,1:--,,,PopulationDensityReport11-12.pdf,4,45,,,,,,,,,,,,,,,0.0,1251.0,0.00%,0.00%,,,,,,,,,
24,.Gonzales County,,,"1:1,171",,,PopulationDensityReport11-12.pdf,4,45,,,,,,,,,,,,,,,17.0,19904.0,0.02%,0.08%,,,,,,,,,
25,.Gray County,,,1:948,,,PopulationDensityReport11-12.pdf,4,45,,,,,,,,,,,,,,,24.0,22755.0,0.03%,0.09%,,,,,,,,,
26,.Grimes County,,,1:927,,,PopulationDensityReport11-12.pdf,4,45,,,,,,,,,,,,,,,29.0,26887.0,0.04%,0.10%,,,,,,,,,
27,.Hale County,,,"1:1,352",,,PopulationDensityReport11-12.pdf,4,45,,,,,,,,,,,,,,,27.0,36498.0,0.03%,0.14%,,,,,,,,,
28,.Hall County,,,"1:3,377",,,PopulationDensityReport11-12.pdf,4,45,,,,,,,,,,,,,,,1.0,3377.0,0.00%,0.01%,,,,,,,,,
29,.Hamilton County,,,1:605,,,PopulationDensityReport11-12.pdf,4,45,,,,,,,,,,,,,,,14.0,8472.0,0.02%,0.03%,,,,,,,,,
30,.Hansford County,,,1:930,,,PopulationDensityReport11-12.pdf,4,45,,,,,,,,,,,,,,,6.0,5577.0,0.01%,0.02%,,,,,,,,,
31,.Hardeman County,,,"1:1,044",,,PopulationDensityReport11-12.pdf,4,45,,,,,,,,,,,,,,,4.0,4176.0,0.00%,0.02%,,,,,,,,,
32,.Harrison County,,,1:799,,,PopulationDensityReport11-12.pdf,4,45,,,,,,,,,,,,,,,83.0,66296.0,0.10%,0.26%,,,,,,,,,
33,.Hartley County,,,1:--,,,PopulationDensityReport11-12.pdf,4,45,,,,,,,,,,,,,,,0.0,5971.0,0.00%,0.02%,,,,,,,,,
34,.Haskell County,,,"1:1,198",,,PopulationDensityReport11-12.pdf,4,45,,,,,,,,,,,,,,,5.0,5989.0,0.01%,0.02%,,,,,,,,,
35,.Hemphill County,,,1:993,,,PopulationDensityReport11-12.pdf,4,45,,,,,,,,,,,,,,,4.0,3970.0,0.00%,0.02%,,,,,,,,,
36,.Henderson County,,,1:830,,,PopulationDensityReport11-12.pdf,4,45,,,,,,,,,,,,,,,95.0,78826.0,0.12%,0.31%,,,,,,,,,
37,.Hill County,,,"1:1,041",,,PopulationDensityReport11-12.pdf,4,45,,,,,,,,,,,,,,,34.0,35392.0,0.04%,0.14%,,,,,,,,,
38,.Hockley County,,,"1:1,431",,,PopulationDensityReport11-12.pdf,4,45,,,,,,,,,,,,,,,16.0,22892.0,0.02%,0.09%,,,,,,,,,
39,.Hood County,,,1:630,,,PopulationDensityReport11-12.pdf,4,45,,,,,,,,,,,,,,,82.0,51670.0,0.10%,0.20%,,,,,,,,,
40,.Hopkins County,,,1:931,,,PopulationDensityReport11-12.pdf,4,45,,,,,,,,,,,,,,,38.0,35371.0,0.05%,0.14%,,,,,,,,,
41,.Houston County,,,"1:1,174",,,PopulationDensityReport11-12.pdf,4,45,,,,,,,,,,,,,,,20.0,23484.0,0.02%,0.09%,,,,,,,,,
42,.Howard County,,,"1:1,756",,,PopulationDensityReport11-12.pdf,4,45,,,,,,,,,,,,,,,20.0,35122.0,0.02%,0.14%,,,,,,,,,
43,.Hudspeth County,,,"1:3,423",,,PopulationDensityReport11-12.pdf,4,45,,,,,,,,,,,,,,,1.0,3423.0,0.00%,0.01%,,,,,,,,,
0,.Hutchinson County,,,,0.03%,0.09%,PopulationDensityReport11-12.pdf,5,45,,,,,,,,,,,,,,,,22132.0,,,,,23.0,1:962,,,,,
1,.Jack County,,,,0.01%,0.04%,PopulationDensityReport11-12.pdf,5,45,,,,,,,,,,,,,,,,9035.0,,,,,9.0,"1:1,004",,,,,
2,.Jackson County,,,,0.01%,0.05%,PopulationDensityReport11-12.pdf,5,45,,,,,,,,,,,,,,,,14032.0,,,,,11.0,"1:1,276",,,,,
3,.Jasper County,,,,0.03%,0.14%,PopulationDensityReport11-12.pdf,5,45,,,,,,,,,,,,,,,,36296.0,,,,,28.0,"1:1,296",,,,,
4,.Jeff Davis County,,,,0.01%,0.01%,PopulationDensityReport11-12.pdf,5,45,,,,,,,,,,,,,,,,2288.0,,,,,7.0,1:327,,,,,
5,.Jim Hogg County,,,,0.00%,0.02%,PopulationDensityReport11-12.pdf,5,45,,,,,,,,,,,,,,,,5265.0,,,,,3.0,"1:1,755",,,,,
6,.Jim Wells County,,,,0.06%,0.16%,PopulationDensityReport11-12.pdf,5,45,,,,,,,,,,,,,,,,41339.0,,,,,46.0,1:899,,,,,
7,.Karnes County,,,,0.02%,0.06%,PopulationDensityReport11-12.pdf,5,45,,,,,,,,,,,,,,,,14946.0,,,,,17.0,1:879,,,,,
8,.Kenedy County,,,,0.00%,0.00%,PopulationDensityReport11-12.pdf,5,45,,,,,,,,,,,,,,,,437.0,,,,,3.0,1:146,,,,,
9,.Kent County,,,,0.00%,0.00%,PopulationDensityReport11-12.pdf,5,45,,,,,,,,,,,,,,,,825.0,,,,,1.0,1:825,,,,,
10,.Kerr County,,,,0.17%,0.19%,PopulationDensityReport11-12.pdf,5,45,,,,,,,,,,,,,,,,49783.0,,,,,141.0,1:353,,,,,
11,.Kimble County,,,,0.01%,0.02%,PopulationDensityReport11-12.pdf,5,45,,,,,,,,,,,,,,,,4632.0,,,,,11.0,1:421,,,,,
12,.King County,,,,0.00%,0.00%,PopulationDensityReport11-12.pdf,5,45,,,,,,,,,,,,,,,,255.0,,,,,0.0,1:--,,,,,
13,.Kinney County,,,,0.00%,0.01%,PopulationDensityReport11-12.pdf,5,45,,,,,,,,,,,,,,,,3630.0,,,,,3.0,"1:1,210",,,,,
14,.Kleberg County,,,,0.04%,0.13%,PopulationDensityReport11-12.pdf,5,45,,,,,,,,,,,,,,,,32196.0,,,,,29.0,"1:1,110",,,,,
15,.Knox County,,,,0.00%,0.01%,PopulationDensityReport11-12.pdf,5,45,,,,,,,,,,,,,,,,3758.0,,,,,2.0,"1:1,879",,,,,
16,.Lamar County,,,,0.00%,0.03%,PopulationDensityReport11-12.pdf,5,45,,,,,,,,,,,,,,,,7001.0,,,,,4.0,"1:1,750",,,,,
17,.Lamb County,,,,0.07%,0.20%,PopulationDensityReport11-12.pdf,5,45,,,,,,,,,,,,,,,,50074.0,,,,,56.0,1:894,,,,,
18,.La Salle County,,,,0.01%,0.06%,PopulationDensityReport11-12.pdf,5,45,,,,,,,,,,,,,,,,14167.0,,,,,11.0,"1:1,288",,,,,
19,.Lavaca County,,,,0.03%,0.08%,PopulationDensityReport11-12.pdf,5,45,,,,,,,,,,,,,,,,19347.0,,,,,24.0,1:806,,,,,
20,.Lee County,,,,0.02%,0.06%,PopulationDensityReport11-12.pdf,5,45,,,,,,,,,,,,,,,,16666.0,,,,,18.0,1:926,,,,,
21,.Leon County,,,,0.02%,0.07%,PopulationDensityReport11-12.pdf,5,45,,,,,,,,,,,,,,,,16916.0,,,,,15.0,"1:1,128",,,,,
22,.Limestone County,,,,0.04%,0.09%,PopulationDensityReport11-12.pdf,5,45,,,,,,,,,,,,,,,,23634.0,,,,,31.0,1:762,,,,,
23,.Lipscomb County,,,,0.00%,0.01%,PopulationDensityReport11-12.pdf,5,45,,,,,,,,,,,,,,,,3327.0,,,,,3.0,"1:1,109",,,,,
24,.Live Oak County,,,,0.01%,0.04%,PopulationDensityReport11-12.pdf,5,45,,,,,,,,,,,,,,,,11447.0,,,,,11.0,"1:1,041",,,,,
25,.Llano County,,,,0.09%,0.07%,PopulationDensityReport11-12.pdf,5,45,,,,,,,,,,,,,,,,19181.0,,,,,71.0,1:270,,,,,
26,.Loving County,,,,0.00%,0.00%,PopulationDensityReport11-12.pdf,5,45,,,,,,,,,,,,,,,,94.0,,,,,0.0,1:--,,,,,
27,.Lynn County,,,,0.01%,0.02%,PopulationDensityReport11-12.pdf,5,45,,,,,,,,,,,,,,,,5888.0,,,,,7.0,1:841,,,,,
28,.McCulloch County,,,,0.01%,0.03%,PopulationDensityReport11-12.pdf,5,45,,,,,,,,,,,,,,,,8290.0,,,,,6.0,"1:1,382",,,,,
29,.McMullen County,,,,0.00%,0.00%,PopulationDensityReport11-12.pdf,5,45,,,,,,,,,,,,,,,,690.0,,,,,0.0,1:--,,,,,
30,.Madison County,,,,0.02%,0.05%,PopulationDensityReport11-12.pdf,5,45,,,,,,,,,,,,,,,,13747.0,,,,,13.0,"1:1,057",,,,,
31,.Marion County,,,,0.01%,0.04%,PopulationDensityReport11-12.pdf,5,45,,,,,,,,,,,,,,,,10507.0,,,,,6.0,"1:1,751",,,,,
32,.Martin County,,,,0.00%,0.02%,PopulationDensityReport11-12.pdf,5,45,,,,,,,,,,,,,,,,4934.0,,,,,2.0,"1:2,467",,,,,
33,.Mason County,,,,0.01%,0.02%,PopulationDensityReport11-12.pdf,5,45,,,,,,,,,,,,,,,,3984.0,,,,,10.0,1:398,,,,,
34,.Matagorda County,,,,0.05%,0.14%,PopulationDensityReport11-12.pdf,5,45,,,,,,,,,,,,,,,,36809.0,,,,,39.0,1:944,,,,,
35,.Maverick County,,,,0.06%,0.22%,PopulationDensityReport11-12.pdf,5,45,,,,,,,,,,,,,,,,55405.0,,,,,45.0,"1:1,231",,,,,
36,.Menard County,,,,0.00%,0.01%,PopulationDensityReport11-12.pdf,5,45,,,,,,,,,,,,,,,,2264.0,,,,,2.0,"1:1,132",,,,,
37,.Milam County,,,,0.04%,0.10%,PopulationDensityReport11-12.pdf,5,45,,,,,,,,,,,,,,,,24699.0,,,,,31.0,1:797,,,,,
38,.Mills County,,,,0.01%,0.02%,PopulationDensityReport11-12.pdf,5,45,,,,,,,,,,,,,,,,4848.0,,,,,7.0,1:693,,,,,
39,.Mitchell County,,,,0.00%,0.04%,PopulationDensityReport11-12.pdf,5,45,,,,,,,,,,,,,,,,9426.0,,,,,4.0,"1:2,357",,,,,
40,.Montague County,,,,0.02%,0.08%,PopulationDensityReport11-12.pdf,5,45,,,,,,,,,,,,,,,,19710.0,,,,,18.0,"1:1,095",,,,,
41,.Moore County,,,,0.02%,0.09%,PopulationDensityReport11-12.pdf,5,45,,,,,,,,,,,,,,,,21954.0,,,,,16.0,"1:1,372",,,,,
42,.Morris County,,,,0.02%,0.05%,PopulationDensityReport11-12.pdf,5,45,,,,,,,,,,,,,,,,12848.0,,,,,18.0,1:714,,,,,
43,.Motley County,,,,0.00%,0.00%,PopulationDensityReport11-12.pdf,5,45,,,,,,,,,,,,,,,,1230.0,,,,,2.0,1:615,,,,,
0,.Nacogdoches County,,,1:727,,,PopulationDensityReport11-12.pdf,6,43,,,,,,,,,90,"65,466",,,,,,,,,,,,,0.11%,0.25%,,,
1,.Navarro County,,,1:874,,,PopulationDensityReport11-12.pdf,6,43,,,,,,,,,55,"48,054",,,,,,,,,,,,,0.07%,0.19%,,,
2,.Newton County,,,"1:2,409",,,PopulationDensityReport11-12.pdf,6,43,,,,,,,,,6,"14,454",,,,,,,,,,,,,0.01%,0.06%,,,
3,.Nolan County,,,1:763,,,PopulationDensityReport11-12.pdf,6,43,,,,,,,,,20,"15,269",,,,,,,,,,,,,0.02%,0.06%,0.06%,,
4,.Ochiltree County,,,1:752,,,PopulationDensityReport11-12.pdf,6,43,,,,,,,,,14,"10,530",,,,,,,,,,,,,0.02%,0.04%,,,
5,.Oldham County,,,1:--,,,PopulationDensityReport11-12.pdf,6,43,,,,,,,,,0,"2,074",,,,,,,,,,,,,0.00%,0.01%,,,
6,.Palo Pinto County,,,"1:1,041",,,PopulationDensityReport11-12.pdf,6,43,,,,,,,,,27,"28,115",,,,,,,,,,,,,0.03%,0.11%,,,
7,.Panola County,,,"1:1,146",,,PopulationDensityReport11-12.pdf,6,43,,,,,,,,,21,"24,058",,,,,,,,,,,,,0.03%,0.09%,,,
8,.Parmer County,,,"1:2,583",,,PopulationDensityReport11-12.pdf,6,43,,,,,,,,,4,"10,332",,,,,,,,,,,,,0.00%,0.04%,,,
9,.Pecos County,,,"1:1,746",,,PopulationDensityReport11-12.pdf,6,43,,,,,,,,,9,"15,716",,,,,,,,,,,,,0.01%,0.06%,,,
10,.Polk County,,,"1:1,089",,,PopulationDensityReport11-12.pdf,6,43,,,,,,,,,42,"45,725",,,,,,,,,,,,,0.05%,0.18%,,,
11,.Presidio County,,,1:706,,,PopulationDensityReport11-12.pdf,6,43,,,,,,,,,11,"7,761",,,,,,,,,,,,,0.01%,0.03%,,,
12,.Rains County,,,"1:2,212",,,PopulationDensityReport11-12.pdf,6,43,,,,,,,,,5,"11,059",,,,,,,,,,,,,0.01%,0.04%,,,
13,.Reagan County,,,"1:1,695",,,PopulationDensityReport11-12.pdf,6,43,,,,,,,,,2,"3,390",,,,,,,,,,,,,0.00%,0.01%,,,
14,.Real County,,,"1:1,142",,,PopulationDensityReport11-12.pdf,6,43,,,,,,,,,3,"3,426",,,,,,,,,,,,,0.00%,0.01%,,,
15,.Red River County,,,"1:1,815",,,PopulationDensityReport11-12.pdf,6,43,,,,,,,,,7,"12,703",,,,,,,,,,,,,0.01%,0.05%,,,
16,.Reeves County,,,"1:1,965",,,PopulationDensityReport11-12.pdf,6,43,,,,,,,,,7,"13,757",,,,,,,,,,,,,0.01%,0.05%,,,
17,.Refugio County,,,"1:1,042",,,PopulationDensityReport11-12.pdf,6,43,,,,,,,,,7,"7,291",,,,,,,,,,,,,0.01%,0.03%,,,
18,.Roberts County,,,1:--,,,PopulationDensityReport11-12.pdf,6,43,,,,,,,,,0,816,,,,,,,,,,,,,0.00%,0.00%,,,
19,.Runnels County,,,"1:1,052",,,PopulationDensityReport11-12.pdf,6,43,,,,,,,,,10,"10,524",,,,,,,,,,,,,0.01%,0.04%,,,
20,.Sabine County,,,"1:1,790",,,PopulationDensityReport11-12.pdf,6,43,,,,,,,,,6,"10,740",,,,,,,,,,,,,0.01%,0.04%,,,
21,.San Augustine County,,,"1:1,479",,,PopulationDensityReport11-12.pdf,6,43,,,,,,,,,6,"8,874",,,,,,,,,,,,,0.01%,0.03%,,,
22,.San Saba County,,,1:502,,,PopulationDensityReport11-12.pdf,6,43,,,,,,,,,12,"6,023",,,,,,,,,,,,,0.01%,0.02%,,,
23,.Schleicher County,,,"1:1,655",,,PopulationDensityReport11-12.pdf,6,43,,,,,,,,,2,"3,309",,,,,,,,,,,,,0.00%,0.01%,,,
24,.Scurry County,,,"1:1,880",,,PopulationDensityReport11-12.pdf,6,43,,,,,,,,,9,"16,919",,,,,,,,,,,,,0.01%,0.07%,,,
25,.Shackelford County,,,"1:1,659",,,PopulationDensityReport11-12.pdf,6,43,,,,,,,,,2,"3,318",,,,,,,,,,,,,0.00%,0.01%,,,
26,.Shelby County,,,1:920,,,PopulationDensityReport11-12.pdf,6,43,,,,,,,,,28,"25,772",,,,,,,,,,,,,0.03%,0.10%,,,
27,.Sherman County,,,1:--,,,PopulationDensityReport11-12.pdf,6,43,,,,,,,,,0,"3,040",,,,,,,,,,,,,0.00%,0.01%,,,
28,.Somervell County,,,"1:1,690",,,PopulationDensityReport11-12.pdf,6,43,,,,,,,,,5,"8,451",,,,,,,,,,,,,0.01%,0.03%,,,
29,.Starr County,,,"1:1,543",,,PopulationDensityReport11-12.pdf,6,43,,,,,,,,,40,"61,715",,,,,,,,,,,,,0.05%,0.24%,,,
30,.Stephens County,,,"1:1,591",,,PopulationDensityReport11-12.pdf,6,43,,,,,,,,,6,"9,548",,,,,,,,,,,,,0.01%,0.04%,,,
31,.Sterling County,,,"1:1,158",,,PopulationDensityReport11-12.pdf,6,43,,,,,,,,,1,"1,158",,,,,,,,,,,,,0.00%,0.00%,,,
32,.Stonewall County,,,1:--,,,PopulationDensityReport11-12.pdf,6,43,,,,,,,,,0,"1,472",,,,,,,,,,,,,0.00%,0.01%,,,
33,.Sutton County,,,1:801,,,PopulationDensityReport11-12.pdf,6,43,,,,,,,,,5,"4,007",,,,,,,,,,,,,0.01%,0.02%,,,
34,.Swisher County,,,"1:1,950",,,PopulationDensityReport11-12.pdf,6,43,,,,,,,,,4,"7,801",,,,,,,,,,,,,0.00%,0.03%,,,
35,.Terrell County,,,1:320,,,PopulationDensityReport11-12.pdf,6,43,,,,,,,,,3,960,,,,,,,,,,,,,0.00%,0.00%,,,
36,.Terry County,,,"1:1,408",,,PopulationDensityReport11-12.pdf,6,43,,,,,,,,,9,"12,675",,,,,,,,,,,,,0.01%,0.05%,,,
37,.Throckmorton County,,,"1:1,609",,,PopulationDensityReport11-12.pdf,6,43,,,,,,,,,1,"1,609",,,,,,,,,,,,,0.00%,0.01%,,,
38,.Titus County,,,"1:1,304",,,PopulationDensityReport11-12.pdf,6,43,,,,,,,,,25,"32,596",,,,,,,,,,,,,0.03%,0.13%,,,
39,.Trinity County,,,"1:1,832",,,PopulationDensityReport11-12.pdf,6,43,,,,,,,,,8,"14,659",,,,,,,,,,,,,0.01%,0.06%,,,
40,.Tyler County,,,"1:1,444",,,PopulationDensityReport11-12.pdf,6,43,,,,,,,,,15,"21,666",,,,,,,,,,,,,0.02%,0.08%,,,
41,.Upton County,,,"1:1,673",,,PopulationDensityReport11-12.pdf,6,43,,,,,,,,,2,"3,346",,,,,,,,,,,,,0.00%,0.01%,,,
