county name,active in state texas attorney_2010,active in state texas attorney_2011,active in state texas attorney_2012,active in state texas attorney_2013,active in state texas attorney_2014,active in state texas attorney_2015,active in state texas attorney_2016,active in state texas attorney_2017,active in state texas attorney_2018,active in state texas attorney_2019,active in state texas attorney_2020,active in state texas attorney_2021,active in state texas attorney_2022,active in state texas attorney_2023,active in state texas attorney_2024,population_2010,population_2011,population_2012,population_2013,population_2014,population_2015,population_2016,population_2017,population_2018,population_2019,population_2020,population_2021,population_2023,population_2024,ratio of attorney to population_2010,ratio of attorney to population_2011,ratio of attorney to population_2012,ratio of attorney to population_2013,ratio of attorney to population_2014,ratio of attorney to population_2015,ratio of attorney to population_2016,ratio of attorney to population_2017,ratio of attorney to population_2018,ratio of attorney to population_2019,ratio of attorney to population_2020,ratio of attorney to population_2021,ratio of attorney to population_2023,ratio of attorney to population_2024,attorney as a percentage of total in state attorney_2010,attorney as a percentage of total in state attorney_2011,attorney as a percentage of total in state attorney_2012,attorney as a percentage of total in state attorney_2013,attorney as a percentage of total in state attorney_2014,attorney as a percentage of total in state attorney_2015,attorney as a percentage of total in state attorney_2016,attorney as a percentage of total in state attorney_2017,attorney as a percentage of total in state attorney_2018,attorney as a percentage of total in state attorney_2019,attorney as a percentage of total in state attorney_2020,attorney as a percentage of total in state attorney_2021,attorney as a percentage of total in state attorney_2023,attorney as a percentage of total in state attorney_2024,population as a percentage of total texas population_2010,population as a percentage of total texas population_2011,population as a percentage of total texas population_2012,population as a percentage of total texas population_2013,population as a percentage of total texas population_2014,population as a percentage of total texas population_2015,population as a percentage of total texas population_2016,population as a percentage of total texas population_2017,population as a percentage of total texas population_2018,population as a percentage of total texas population_2019,population as a percentage of total texas population_2020,population as a percentage of total texas population_2021,population as a percentage of total texas population_2023,population as a percentage of total texas population_2024
Hamilton County,11,14,14,14,17,17,20,20,20,20,18,20,18,16,15,8517,8472,8307,8310,8199,8159,,8422,8484,8461,8222,8229,8619,8644,0.579166667,0.461805556,0.453472222,0.454166667,0.376388889,0.375,,0.334027778,0.336111111,0.335416667,0.359027778,0.327083333,0.415972222,0.441666667,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,,0.0003,0.0003,,,0.0003,,0.0003,,0.0003,0.0003,0.0003,0.0003,0.0003
Hansford County,7,6,5,6,6,6,6,5,6,6,4,4,5,5,5,5613,5577,5521,5555,5509,5610,,5447,5463,5399,5285,5159,5071,5006,0.598611111,0.6875,"1:1,104",0.684722222,0.679166667,0.690972222,,"1:1,089",0.674305556,0.666666667,"1:1,321","1:1,290","1:1,014","1:1,001",0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0,0,0.0001,0.0001,,0.0002,0.0002,,,0.0002,,0.0002,,0.0002,0.0002,0.0002,0.0002,0.0002
Hardeman County,5,4,3,3,4,4,4,4,4,4,5,4,4,3,3,4139,4176,4082,4016,3928,3840,,3994,3922,3933,3549,3552,3490,3417,0.616666667,"1:1,044","1:1,361","1:1,339",0.723611111,0.708333333,,0.735416667,0.722916667,0.724305556,0.534722222,0.658333333,"1:1,163","1:1,139",0.0001,0,0,0,0,0,,0,0,0,0.0001,0,0,0,,0.0002,0.0002,,,0.0001,,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001
Hardin County,59,59,61,57,59,59,54,56,50,50,53,51,53,53,55,54635,55246,55190,55417,55621,55865,,57139,57207,57602,56231,56973,58261,58670,0.684722222,0.691666667,0.670138889,0.716666667,0.696527778,0.699305556,,"1:1,020","1:1,144","1:1,152","1:1,061","1:1,117",0.804861111,0.782638889,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,,0.0006,0.0005,0.0005,0.0006,0.0005,0.0005,0.0006,,0.0022,0.0021,,,0.002,,0.002,,0.002,0.002,0.0019,0.0019,0.002
Harris County,21932,21688,22208,22824,23183,23379,23602,23747,23937,23937,24449,24688,25061,25205,25667,4092459,4180894,4253700,4336853,4441370,4538028,,4652980,4698619,4713325,4731145,4728030,4835125,5009302,0.171527778,0.175694444,0.175,0.173611111,0.175,0.176388889,,0.177777778,0.177777778,0.178472222,0.176388889,0.175,0.175,0.177083333,0.252,0.2689,0.2688,0.2692,0.268,0.2658,,0.261,0.2623,0.2623,0.268,0.2593,0.2603,0.2651,,0.1628,0.1632,,,0.1652,,0.1644,,0.1642,0.1648,0.1601,0.161,0.1668
Harrison County,69,83,89,93,93,90,91,92,89,89,87,81,80,79,75,65631,66296,67450,66886,67336,66746,,66661,66726,66553,68839,69150,70895,71370,0.702083333,0.596527778,0.568055556,0.540972222,0.544444444,0.556944444,,0.545138889,0.5625,0.561111111,0.590972222,0.634722222,0.664583333,0.702777778,0.0008,0.001,0.0011,0.0011,0.0011,0.001,,0.001,0.001,0.001,0.001,0.0009,0.0008,0.0008,,0.0026,0.0026,,,0.0024,,0.0024,,0.0023,0.0024,0.0023,0.0024,0.0024
Hartley County,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6062,5971,6144,6100,6089,6193,,5691,5619,5576,5382,5397,5145,4996,"1:2,021",1:--,1:--,1:--,1:--,1:--,,1:--,1:--,1:--,1:--,1:--,1:--,1: --,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.0002,0.0002,,,0.0002,,0.0002,,0.0002,0.0002,0.0002,0.0002,0.0002
Haskell County,4,5,5,5,5,5,5,6,6,6,6,5,7,7,7,5899,5989,5901,5875,5769,5737,,5746,5813,5658,5416,5411,5385,5435,"1:1,475","1:1,198","1:1,180","1:1,175","1:1,154","1:1,147",,0.706944444,0.714583333,0.696527778,0.66875,"1:1,082",0.575694444,0.580555556,0,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0002,0.0002,,,0.0002,,0.0002,,0.0002,0.0002,0.0002,0.0002,0.0002
Hays County,337,391,397,406,420,460,486,509,526,526,612,661,722,773,810,157107,164050,168990,176026,185025,194739,,214485,222631,230191,241067,255397,280486,292029,0.365277778,0.333333333,0.3375,0.343055556,0.347916667,0.335416667,,0.334027778,0.335416667,0.345833333,0.315277778,0.309722222,0.29375,0.292361111,0.0039,0.0048,0.0048,0.0048,0.0049,0.0052,,0.0056,0.0058,0.0058,0.0067,0.0069,0.008,0.0084,,0.0064,0.0065,,,0.0071,,0.0076,,0.008,0.0084,0.0086,0.0093,0.0097
Hemphill County,4,4,4,5,6,5,5,509,5,5,4,5,6,5,6,3807,3970,4080,4158,4180,4264,,214485,3825,3819,3382,3271,3189,3134,0.702777778,0.73125,"1:1,020",0.619444444,0.525694444,0.634027778,,0.334027778,0.572916667,0.572222222,0.629166667,0.495833333,0.484722222,0.404166667,0,0,0,0.0001,0.0001,0.0001,,0.0056,0.0001,0.0001,0,0.0001,0.0001,0.0001,,0.0002,0.0002,,,0.0002,,0.0076,,0.0001,0.0001,0.0001,0.0001,0.0001
Henderson County,58,95,93,95,93,97,95,106,106,106,108,114,117,119,121,78532,78826,79094,78675,79290,79545,,81064,82299,82737,82150,83667,86158,87467,"1:1,354",0.618055556,0.631944444,0.616666667,0.634027778,0.611111111,,0.572916667,0.580555556,0.584027778,0.570138889,0.551388889,0.544444444,0.54375,0.0007,0.0012,0.0011,0.0011,0.0011,0.0011,,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,,0.0031,0.003,,,0.0029,,0.0029,,0.0029,0.0029,0.0028,0.0029,0.0029
Hidalgo County,487,959,972,988,1005,1028,1058,1069,1082,1082,1109,1117,1125,1132,1136,774769,797810,806552,815996,831073,842304,,860661,865939,868707,870781,880356,898471,914820,"1:1,591",0.619444444,0.618055556,0.615277778,0.615972222,0.610416667,,0.600694444,0.597222222,0.599305556,0.586805556,0.588888889,0.593055556,0.600694444,0.0056,0.0119,0.0118,0.0117,0.0116,0.0117,,0.0117,0.0119,0.0119,0.0122,0.0117,0.0117,0.0117,,0.0311,0.031,,,0.0307,,0.0304,,0.0303,0.0303,0.0298,0.0299,0.0305
Hill County,33,34,36,36,35,35,36,33,36,36,35,37,39,41,42,35089,35392,35115,34823,34848,34855,,35852,36354,36649,35874,36471,38101,38771,"1:1,064","1:1,041",0.71875,0.713194444,0.733333333,0.733333333,,0.795833333,"1:1,010","1:1,018","1:1,025",0.726388889,0.686805556,0.682638889,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,,0.0014,0.0013,,,0.0013,,0.0013,,0.0013,0.0012,0.0012,0.0013,0.0013
Hockley County,25,16,17,17,17,16,16,16,19,19,16,19,9,9,9,22935,22892,23072,23530,23577,23433,,23088,22980,23021,21537,21363,,,0.678472222,"1:1,431","1:1,357","1:1,384","1:1,387","1:1,465",,"1:1,443","1:1,209","1:1,212","1:1,346","1:1,124",,,0.0003,0.0002,0.0002,0.0002,0.0002,0.0002,,0.0002,0.0002,0.0002,0.0002,0.0002,,,,0.0009,0.0009,,,0.0009,,0.0008,,0.0008,0.0008,0.0007,,
Hood County,73,82,85,88,91,89,96,104,109,109,122,119,122,124,123,51182,51670,52044,52905,53921,55423,,58273,60537,61643,61598,64222,67774,69126,0.528472222,0.479166667,0.466666667,0.459027778,0.453472222,0.474305556,,0.430555556,0.427083333,0.434722222,0.392361111,0.416666667,0.421527778,0.431944444,0.0008,0.001,0.001,0.001,0.0011,0.001,,0.0011,0.0012,0.0012,0.0013,0.0013,0.0013,0.0013,,0.002,0.002,,,0.002,,0.0021,,0.0021,0.0021,0.0022,0.0023,0.0023
Hopkins County,32,38,38,38,36,39,43,40,39,39,44,45,46,47,46,35161,35371,35469,35565,35921,36223,,36496,36810,37084,36787,37211,38172,38784,"1:1,099",0.688194444,0.689583333,0.691666667,0.734722222,0.686805556,,0.675,0.697222222,0.702083333,0.622222222,0.615972222,0.605555556,0.627083333,0.0004,0.0005,0.0005,0.0004,0.0004,0.0004,,0.0004,0.0004,0.0004,0.0005,0.0005,0.0005,0.0005,,0.0014,0.0014,,,0.0013,,0.0013,,0.0013,0.0013,0.0013,0.0013,0.0013
Houston County,16,20,20,22,17,18,19,23,22,22,21,19,21,19,22,23732,23484,23161,22911,22741,22785,,23021,23169,22968,22066,22241,22066,22197,"1:1,483","1:1,174","1:1,158","1:1,041","1:1,338","1:1,266",,"1:1,001","1:1,053","1:1,044","1:1,051","1:1,171","1:1,161","1:1,009",0.0002,0.0002,0.0002,0.0003,0.0002,0.0002,,0.0003,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,,0.0009,0.0009,,,0.0008,,0.0008,,0.0008,0.0008,0.0008,0.0007,0.0007
Howard County,36,20,20,22,21,23,24,22,21,21,21,20,20,19,20,35012,35122,35408,36147,36651,37206,,36040,36459,36664,34860,34128,30554,30833,0.717361111,"1:1,756","1:1,770","1:1,643","1:1,745","1:1,618",,"1:1,638","1:1,736","1:1,746","1:1,660","1:1,706","1:1,608","1:1,542",0.0004,0.0002,0.0002,0.0003,0.0002,0.0003,,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,,0.0014,0.0014,,,0.0014,,0.0013,,0.0013,0.0012,0.0012,0.001,0.001
Hudspeth County,2,1,1,1,2,0,0,0,0,0,0,2,2,1,1,3476,3423,3337,3318,3211,3379,,4408,4795,4886,3202,3287,3451,3608,"1:1,738","1:3,423","1:3,337","1:3,318","1:1,606",1:--,,1:--,1:--,1:--,1:--,"1:1,644",2.438194444,2.547222222,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.0001,0.0001,,,0.0001,,0.0002,,0.0002,0.0001,0.0001,0.0001,0.0001
Hunt County,56,68,66,72,71,75,75,74,72,72,70,73,80,88,88,86129,86531,87079,87048,88493,89844,,93872,96493,98594,99956,103394,113347,118729,"1:1,538","1:1,273","1:1,319","1:1,209","1:1,246","1:1,198",,"1:1,269","1:1,340","1:1,369","1:1,428","1:1,416",0.936111111,0.978472222,0.0006,0.0008,0.0008,0.0008,0.0008,0.0009,,0.0008,0.0008,0.0008,0.0008,0.0008,0.0009,0.0009,,0.0034,0.0033,,,0.0033,,0.0033,,0.0034,0.0035,0.0035,0.0038,0.004
Hutchinson County,21,23,20,19,19,19,19,18,17,17,16,15,15,15,13,22150,22132,21922,21819,21773,21734,,21375,21198,20938,20617,20495,20033,19721,"1:1,055",0.709722222,"1:1,096","1:1,148","1:1,146","1:1,144",,"1:1,188","1:1,247","1:1,232","1:1,289","1:1,366","1:1,336","1:1,517",0.0002,0.0003,0.0002,0.0002,0.0002,0.0002,,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,,0.0009,0.0008,,,0.0008,,0.0008,,0.0007,0.0007,0.0007,0.0007,0.0007
Irion County,1,0,1,0,0,1,1,2,2,2,2,3,3,2,2,1599,1620,1573,1612,1574,1554,,1516,1522,1536,1513,1552,1549,1526,"1:1,599",1:--,"1:1,573",1:--,1:--,"1:1,554",,0.568055556,0.570138889,0.575,0.567361111,0.400694444,0.579861111,0.571527778,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.0001,0.0001,,,0.0001,,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001
Jack County,7,9,8,8,8,7,9,8,8,8,8,8,9,9,10,9044,9035,8983,8957,8855,8878,,8832,8843,8935,8472,8712,8875,9398,"1:1,292","1:1,004","1:1,123","1:1,120","1:1,107","1:1,268",,"1:1,104","1:1,105","1:1,117","1:1,059","1:1,089",0.726388889,0.694444444,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0004,0.0003,,,0.0003,,0.0003,,0.0003,0.0003,0.0003,0.0003,0.0003
Jackson County,17,11,9,11,12,15,14,14,14,14,14,15,16,16,16,14075,14032,14255,14591,14739,14816,,14805,14874,14760,14988,15121,15221,15284,0.616666667,"1:1,276","1:1,584","1:1,326","1:1,228",0.727777778,,"1:1,058","1:1,062","1:1,054","1:1,071","1:1,008",0.702083333,0.704861111,0.0002,0.0001,0.0001,0.0001,0.0001,0.0002,,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,,0.0005,0.0005,,,0.0005,,0.0005,,0.0005,0.0005,0.0005,0.0005,0.0005
Jasper County,23,28,27,27,28,27,27,28,29,29,29,31,32,31,34,25938,36296,35923,35649,35552,35506,,35561,35872,35529,32980,32975,32694,32907,"1:1,128","1:1,296","1:1,330","1:1,320","1:1,270","1:1,315",,"1:1,270","1:1,237","1:1,225","1:1,137","1:1,064","1:1,055",0.713888889,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0004,,0.0014,0.0014,,,0.0013,,0.0013,,0.0012,0.0011,0.0011,0.0011,0.0011
Jeff Davis County,2,7,7,7,8,8,8,8,9,9,11,10,9,8,7,2342,2288,2307,2253,2204,2156,,2280,2252,2274,1996,1949,1856,1778,"1:1,171",0.26875,0.270833333,0.265277778,0.233333333,0.229166667,,0.239583333,0.215277778,0.217361111,0.167361111,0.177083333,0.202777778,0.218055556,0,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,,,0.0001,,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001
Jefferson County,564,674,674,655,660,656,644,637,631,631,608,594,593,585,587,252273,252802,251813,252358,252235,254308,,256299,255001,251565,256526,253704,251496,253948,0.352083333,0.302083333,0.301388889,0.309027778,0.306944444,0.311111111,,0.320833333,0.322222222,0.31875,0.334722222,0.338194444,0.340277778,0.342361111,0.0065,0.0084,0.0082,0.0077,0.0076,0.0075,,0.007,0.0069,0.0069,0.0067,0.0062,0.006,0.0061,,0.0098,0.0097,,,0.0093,,0.0091,,0.0088,0.0089,0.0086,0.0084,0.0085
Jim Hogg County,2,3,2,2,2,2,2,2,2,2,2,2,3,3,3,5300,5265,5249,5245,5255,5200,,5202,5248,5200,4838,4801,4720,4583,"1:2,650","1:1,755","1:2,625","1:2,623","1:2,628","1:2,600",,"1:2,601","1:2,624","1:2,600","1:2,419","1:2,401","1:1,573","1:1,528",0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.0002,0.0002,,,0.0002,,0.0002,,0.0002,0.0002,0.0002,0.0002,0.0002
Jim Wells County,24,46,48,49,45,43,45,46,47,47,50,45,45,44,43,40838,41339,41754,41680,41353,41382,,40871,40822,40482,38891,38847,38662,38886,"1:1,702",0.665972222,0.645833333,0.632638889,0.679861111,0.709722222,,0.659027778,0.645138889,0.639583333,0.581944444,0.640972222,0.652083333,0.669444444,0.0003,0.0006,0.0006,0.0006,0.0005,0.0005,,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0004,,0.0016,0.0016,,,0.0015,,0.0014,,0.0014,0.0014,0.0013,0.0013,0.0013
Johnson County,132,152,153,155,159,167,176,178,180,180,183,198,199,195,208,150934,152734,153441,154707,157456,159990,,167301,171361,175817,179927,187280,202906,210547,"1:1,143","1:1,005","1:1,003",0.734722222,0.729166667,0.706944444,,0.694444444,0.702777778,0.720138889,0.724305556,0.698611111,0.764583333,0.744444444,0.0015,0.0019,0.0019,0.0018,0.0018,0.0019,,0.002,0.002,0.002,0.002,0.0021,0.002,0.0021,,0.0059,0.0059,,,0.0058,,0.0059,,0.0061,0.0063,0.0063,0.0068,0.007
Jones County,11,12,11,12,11,11,10,12,12,12,14,14,13,13,11,20202,20146,19973,19859,19936,19970,,19983,19817,20083,19663,19873,20381,20850,"1:1,837","1:1,679","1:1,816","1:1,655","1:1,812","1:1,815",,"1:1,665","1:1,651","1:1,674","1:1,405","1:1,420",1.130555556,1.357638889,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,,0.0008,0.0008,,,0.0007,,0.0007,,0.0007,0.0007,0.0007,0.0007,0.0007
Karnes County,11,17,16,16,18,22,19,18,16,16,13,13,12,10,9,14824,14946,15233,15081,14906,14975,,15187,15650,15601,14710,14754,15018,15137,"1:1,348",0.652083333,0.702777778,0.696527778,0.616666667,0.514583333,,0.627777778,0.720833333,0.71875,"1:1,132","1:1,135","1:1,502","1:1,682",0.0001,0.0002,0.0002,0.0002,0.0002,0.0003,,0.0002,0.0002,0.0002,0.0001,0.0001,0.0001,0.0001,,0.0006,0.0006,,,0.0005,,0.0005,,0.0005,0.0005,0.0005,0.0005,0.0005
Kaufman County,102,120,124,130,130,151,151,160,169,169,183,192,192,195,194,103350,105358,106753,108568,111236,114690,,122883,128622,136154,145310,157768,185690,197829,"1:1,013",0.651388889,0.639583333,0.621527778,0.636111111,0.569444444,,0.575,0.570138889,0.601388889,0.593055556,0.6125,0.702777778,0.75,0.0012,0.0015,0.0015,0.0015,0.0015,0.0017,,0.0018,0.0019,0.0019,0.002,0.002,0.002,0.002,,0.0041,0.0041,,,0.0042,,0.0043,,0.0047,0.0051,0.0053,0.0062,0.0066
Kendall County,70,159,160,159,164,161,167,175,190,190,205,211,226,235,245,33410,34781,35956,37766,38880,40384,,44026,45641,47431,44279,46788,50537,51828,0.372916667,0.19375,0.197916667,0.206944444,0.20625,0.215972222,,0.216666667,0.208333333,0.215277778,0.191666667,0.195833333,0.190972222,0.188888889,0.0008,0.002,0.0019,0.0019,0.0019,0.0018,,0.0019,0.0021,0.0021,0.0022,0.0022,0.0024,0.0025,,0.0014,0.0014,,,0.0015,,0.0016,,0.0017,0.0015,0.0016,0.0017,0.0017
Kenedy County,0,3,3,2,2,2,1,1,1,1,1,1,1,1,1,416,437,431,412,400,407,,417,442,404,350,340,343,330,1:--,0.143055556,0.141666667,0.184722222,0.180555556,0.183333333,,0.33125,0.348611111,0.322222222,0.284722222,0.277777778,0.279861111,0.270833333,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,,,0,,0,,0,0,0,0,0
Kent County,0,1,2,2,2,2,1,1,1,1,3,1,2,1,1,808,825,839,807,785,764,,763,726,762,753,749,734,703,1:--,0.614583333,0.333333333,0.322222222,0.314583333,0.306944444,,0.571527778,0.545833333,0.570833333,0.215972222,0.561805556,0.551388889,0.529861111,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,,,0,,0,,0,0,0,0,0
Kerr County,95,141,140,135,131,136,132,136,141,141,140,144,147,150,151,49625,49783,49786,49953,50562,50955,,51720,52405,52600,52598,53161,53915,53900,0.404166667,0.286805556,0.288888889,0.298611111,0.309722222,0.302083333,,0.305555556,0.3,0.300694444,0.302777778,0.297916667,0.290972222,0.289583333,0.0011,0.0017,0.0017,0.0016,0.0015,0.0015,,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0016,,0.0019,0.0019,,,0.0019,,0.0018,,0.0018,0.0018,0.0018,0.0018,0.0018
Kimble County,6,11,12,12,9,9,9,10,10,10,9,9,9,9,9,4607,4632,4560,4481,4438,4388,,4410,4362,4337,4286,4365,4442,4401,0.575,0.334027778,0.305555556,0.300694444,0.384027778,0.380555556,,0.347916667,0.344444444,0.343055556,0.372222222,0.378472222,0.384722222,0.38125,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0002,0.0002,,,0.0002,,0.0002,,0.0002,0.0001,0.0001,0.0001,0.0001
King County,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,286,255,276,285,262,282,,296,277,272,265,258,217,215,1:--,1:--,1:--,1:--,1:--,1:--,,0.247222222,0.234027778,0.230555556,1:--,1:--,1:--,1: --,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,,,0,,0,,0,0,0,0,0
Kinney County,5,3,4,4,4,3,3,4,3,3,3,3,3,2,2,3598,3630,3603,3586,3526,3549,,3745,3767,3667,3129,3130,3148,3191,0.541666667,"1:1,210",0.667361111,0.664583333,0.654166667,"1:1,183",,0.691666667,"1:1,256","1:1,212","1:1,043","1:1,043","1:1,574","1:1,596",0.0001,0,0,0,0,0,,0,0,0,0,0,0,0,,0.0001,0.0001,,,0.0001,,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001
Kleberg County,29,29,29,29,29,27,25,26,26,26,29,30,30,30,30,32061,32196,32025,32101,32190,31857,,31088,31129,30680,31040,30365,30069,30442,"1:1,105","1:1,110","1:1,104","1:1,107","1:1,110","1:1,180",,"1:1,196","1:1,197","1:1,180","1:1,070","1:1,012","1:1,002","1:1,015",0.0003,0.0004,0.0004,0.0003,0.0003,0.0003,,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,,0.0013,0.0012,,,0.0012,,0.0011,,0.0011,0.0011,0.001,0.001,0.001
Knox County,4,2,2,2,2,1,1,1,1,1,2,2,2,2,2,3719,3758,3789,3767,3858,3860,,3710,3653,3664,3353,3351,3302,3255,0.6875,"1:1,879","1:1,895","1:1,884","1:1,929","1:3,860",,"1:3,710","1:3,653","1:3,664","1:1,677","1:1,676","1:1,651","1:1,628",0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.0001,0.0001,,,0.0001,,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001
La Salle County,9,11,11,3,3,3,3,3,7,2,3,3,3,3,3,6886,14167,14008,7369,7474,7631,,7584,21229,7520,6664,6670,6537,6679,0.572916667,"1:1,288","1:1,273","1:2,456","1:2,491","1:2,544",,"1:2,528","1:3,033","1:3,760","1:2,221","1:2,223","1:2,179","1:2,226",0.0001,0.0001,0.0001,0,0,0,,0,0.0001,0,0,0,0,0,,0.0006,0.0005,,,0.0003,,0.0003,,0.0003,0.0002,0.0002,0.0002,0.0002
Lamar County,57,4,4,56,60,61,61,64,2,62,62,60,58,57,54,49793,7001,7109,49426,49523,49440,,49587,49728,49859,50088,50098,51127,51249,0.647916667,"1:1,750","1:1,777",0.654861111,0.614583333,0.604166667,,0.579861111,"1:24,864",0.6,0.602777778,0.621527778,0.664583333,0.700694444,0.0007,0,0,0.0007,0.0007,0.0007,,0.0007,0,0.0007,0.0007,0.0006,0.0006,0.0006,,0.0003,0.0003,,,0.0018,,0.0018,,0.0017,0.0017,0.0017,0.0017,0.0017
Lamb County,16,56,55,11,10,8,7,7,62,7,6,6,6,6,6,13977,50074,49811,13775,13574,13385,,13210,13158,12893,13045,12898,12711,12687,0.648611111,0.6625,0.670833333,"1:1,252","1:1,357","1:1,673",,"1:1,887",0.188888889,"1:1,842","1:2,174","1:2,150","1:2,119","1:2,115",0.0002,0.0007,0.0007,0.0001,0.0001,0.0001,,0.0001,0.0007,0.0001,0.0001,0.0001,0.0001,0.0001,,0.002,0.0019,,,0.0005,,0.0005,,0.0004,0.0005,0.0004,0.0004,0.0004
Lampasas County,19,18,19,20,22,20,19,22,24,24,27,24,27,29,29,19677,19891,20107,20222,20156,20588,,21027,7531,21428,21627,22252,23262,23539,"1:1,035","1:1,105","1:1,058","1:1,011",0.677777778,"1:1,029",,0.705555556,0.259722222,0.661805556,0.597916667,0.685416667,0.598611111,0.605555556,0.0002,0.0002,0.0002,0.0002,0.0003,0.0002,,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,,0.0008,0.0008,,,0.0007,,0.0007,,0.0007,0.0008,0.0008,0.0008,0.0008
Lavaca County,20,24,25,24,27,28,29,29,26,26,29,32,31,33,30,19263,19347,19468,19581,19721,19836,,20062,20110,20154,20337,20544,20571,20605,0.710416667,0.601388889,0.582638889,0.608333333,0.548611111,0.533333333,,0.522222222,0.578472222,0.579861111,0.528472222,0.4875,0.474305556,0.51875,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,,0.0008,0.0007,,,0.0007,,0.0007,,0.0007,0.0007,0.0007,0.0007,0.0007
Lee County,10,18,16,16,16,15,16,18,21,21,18,19,19,19,19,16612,16666,16601,16628,16742,16898,,17183,17144,17239,17478,17706,18240,18451,"1:1,661",0.684722222,"1:1,038","1:1,039","1:1,046","1:1,127",,0.704861111,0.608333333,0.611805556,0.715972222,0.688888889,0.708333333,0.715972222,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,,0.0006,0.0006,,,0.0006,,0.0006,,0.0006,0.0006,0.0006,0.0006,0.0006
Leon County,15,15,13,15,16,15,16,15,15,15,14,15,16,14,17,16801,16916,16803,16742,16861,17086,,17243,17270,17404,15719,15959,16538,16698,"1:1,120","1:1,128","1:1,293","1:1,116","1:1,054","1:1,139",,"1:1,150","1:1,151","1:1,160","1:1,123","1:1,064","1:1,181",0.723611111,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002,,0.0007,0.0006,,,0.0006,,0.0006,,0.0006,0.0005,0.0005,0.0006,0.0006
Liberty County,50,71,67,66,70,70,72,72,72,72,73,75,76,76,77,75643,76206,76571,76907,78117,79654,,83658,86323,88219,91628,97621,108272,115042,"1:1,513","1:1,073","1:1,143","1:1,165","1:1,116","1:1,138",,"1:1,162","1:1,199","1:1,225","1:1,255","1:1,302","1:1,425","1:1,494",0.0006,0.0009,0.0008,0.0008,0.0008,0.0008,,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,,0.003,0.0029,,,0.0029,,0.003,,0.0031,0.0032,0.0033,0.0036,0.0038
