county name,active in state texas attorney__2010,active in state texas attorney__2011,active in state texas attorney__2012,active in state texas attorney__2013,active in state texas attorney__2014,active in state texas attorney__2015,active in state texas attorney__2016,active in state texas attorney__2017,active in state texas attorney__2018,active in state texas attorney__2019,active in state texas attorney__2020,active in state texas attorney__2021,active in state texas attorney__2023,active in state texas attorney__2024,population__2010,population__2011,population__2012,population__2013,population__2014,population__2015,population__2016,population__2017,population__2018,population__2019,population__2020,population__2021,population__2023,population__2024,ratio of attorney to population__2010,ratio of attorney to population__2011,ratio of attorney to population__2012,ratio of attorney to population__2013,ratio of attorney to population__2014,ratio of attorney to population__2015,ratio of attorney to population__2016,ratio of attorney to population__2017,ratio of attorney to population__2018,ratio of attorney to population__2019,ratio of attorney to population__2020,ratio of attorney to population__2021,ratio of attorney to population__2023,ratio of attorney to population__2024,attorney as a percentage of total in state attorney__2010,attorney as a percentage of total in state attorney__2011,attorney as a percentage of total in state attorney__2012,attorney as a percentage of total in state attorney__2013,attorney as a percentage of total in state attorney__2014,attorney as a percentage of total in state attorney__2015,attorney as a percentage of total in state attorney__2016,attorney as a percentage of total in state attorney__2017,attorney as a percentage of total in state attorney__2018,attorney as a percentage of total in state attorney__2019,attorney as a percentage of total in state attorney__2020,attorney as a percentage of total in state attorney__2021,attorney as a percentage of total in state attorney__2023,attorney as a percentage of total in state attorney__2024,population as a percentage of total texas population__2010,population as a percentage of total texas population__2011,population as a percentage of total texas population__2012,population as a percentage of total texas population__2013,population as a percentage of total texas population__2014,population as a percentage of total texas population__2015,population as a percentage of total texas population__2016,population as a percentage of total texas population__2017,population as a percentage of total texas population__2018,population as a percentage of total texas population__2019,population as a percentage of total texas population__2020,population as a percentage of total texas population__2021,population as a percentage of total texas population__2023,population as a percentage of total texas population__2024
Frio County,11,12,12,13,15,16,14,13,11,11,14,14,12,9,17217.0,17400.0,17702.0,18065.0,18531.0,18793.0,,19600.0,19816.0,20306.0,18385.0,18436.0,17987.0,19520.0,"1:1,565","1:1,450","1:1,475","1:1,390","1:1,235","1:1,175",,"1:1,508","1:1,801","1:1,846","1:1,313","1:1,317","1:1,499","1:2,169",0.0001,0.0001,0.0001,0.0002,0.0002,0.0002,,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,,0.0007,0.0007,,,0.0007,,0.0007,,0.0007,0.0006,0.0006,0.0006,0.0007
Gaines County,17,5,721,5,5,6,7,6,7,7,6,7,6,6,17526.0,18003.0,300484.0,18921.0,19425.0,20051.0,,20638.0,20901.0,21492.0,21598.0,21895.0,22523.0,22892.0,"1:1,031","1:3,601",0.33125,"1:3,784","1:3,885","1:3,342",,"1:3,440","1:2,986","1:3,070","1:3,600","1:3,128","1:3,754","1:3,815",0.0002,0.0001,0.0087,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0007,0.0115,,,0.0007,,0.0007,,0.0007,0.0008,0.0007,0.0008,0.0008
Galveston County,677,685,5,755,777,814,808,805,801,801,839,849,877,880,291309.0,295747.0,18413.0,306782.0,314198.0,322225.0,,335036.0,337890.0,342139.0,350682.0,355062.0,361744.0,367407.0,0.3402777777777778,0.3416666666666667,"1:3,683",0.3236111111111111,0.32222222222222224,0.31666666666666665,,0.33055555555555555,0.3347222222222222,0.33819444444444446,0.33194444444444443,0.33194444444444443,0.3277777777777778,0.33194444444444443,0.0078,0.0085,0.0001,0.0089,0.009,0.0093,,0.0088,0.0088,0.0088,0.0092,0.0089,0.0091,0.0091,,0.0115,0.0007,,,0.0117,,0.0118,,0.0119,0.0122,0.012,0.012,0.0122
Garza County,6,2,2,2,3,2,3,2,3,3,3,3,4,4,6461.0,6562.0,6412.0,6317.0,6435.0,6415.0,,6528.0,6578.0,6229.0,5816.0,5863.0,4517.0,4645.0,"1:1,077","1:3,281","1:3,206","1:3,159","1:2,145","1:3,208",,"1:3,264","1:2,193","1:2,076","1:1,939","1:1,954","1:1,129","1:1,161",0.0001,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0003,0.0002,,,0.0002,,0.0002,,0.0002,0.0002,0.0002,0.0002,0.0002
Gillespie County,33,62,68,72,70,71,78,77,80,80,87,92,109,111,24837.0,25114.0,25153.0,25357.0,25520.0,25963.0,,26646.0,26804.0,26988.0,26725.0,27297.0,27733.0,28159.0,0.5645833333333333,0.3229166666666667,0.2986111111111111,0.2861111111111111,0.2951388888888889,0.29583333333333334,,0.28194444444444444,0.2743055555555556,0.27569444444444446,0.2548611111111111,0.24791666666666667,0.21805555555555556,0.21805555555555556,0.0004,0.0008,0.0008,0.0008,0.0008,0.0008,,0.0008,0.0009,0.0009,0.001,0.001,0.0011,0.0011,,0.001,0.001,,,0.0009,,0.0009,,0.0009,0.0009,0.0009,0.0009,0.0009
Glasscock County,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1226.0,1251.0,1259.0,1251.0,1291.0,1315.0,,1348.0,1388.0,1409.0,1116.0,1149.0,1141.0,1153.0,1:--,1:--,"1:1,259","1:1,251","1:1,291","1:1,315",,"1:1,314",1:--,1:--,1:--,1:--,1:--,1: --,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Goliad County,8,8,9,7,7,7,6,5,5,5,5,6,9,8,7210.0,7243.0,7351.0,7465.0,7549.0,7531.0,,7562.0,7584.0,7658.0,7012.0,7163.0,7144.0,7221.0,0.6673611111111111,0.6701388888888888,0.6090277777777777,"1:1,066","1:1,078","1:1,076",,"1:1,512","1:1,517","1:1,532","1:1,402","1:1,194",0.5930555555555556,0.66875,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0003,0.0003,,,0.0003,,0.0003,,0.0003,0.0002,0.0002,0.0002,0.0002
Gonzales County,18,17,18,18,20,22,20,18,20,20,19,19,21,23,19807.0,19904.0,20045.0,20312.0,20462.0,20573.0,,20893.0,20826.0,20837.0,19653.0,19641.0,19930.0,20040.0,"1:1,100","1:1,171","1:1,114","1:1,128","1:1,023",0.6909722222222222,,"1:1,161","1:1,041","1:1,042","1:1,034","1:1,034",0.7006944444444444,0.6465277777777778,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,,0.0008,0.0008,,,0.0007,,0.0007,,0.0007,0.0007,0.0007,0.0007,0.0007
Gray County,35,24,25,23,22,23,23,23,23,23,19,20,17,16,22535.0,22755.0,22978.0,23043.0,23044.0,23210.0,,22404.0,21895.0,21886.0,21227.0,21030.0,20916.0,20888.0,0.4888888888888889,0.7,0.6798611111111111,"1:1,002","1:1,047","1:1,009",,0.7180555555555556,0.7027777777777777,0.7027777777777777,"1:1,117","1:1,052","1:1,230","1:1,306",0.0004,0.0003,0.0003,0.0003,0.0003,0.0003,,0.0003,0.0003,0.0003,0.0002,0.0002,0.0002,0.0002,,0.0009,0.0009,,,0.0008,,0.0008,,0.0008,0.0007,0.0007,0.0007,0.0007
Grayson County,135,191,185,183,192,200,198,188,195,195,214,221,224,226,120877.0,121419.0,121935.0,122353.0,123534.0,125467.0,,131140.0,133991.0,136212.0,135543.0,139336.0,143131.0,150532.0,0.6631944444444444,0.48333333333333334,0.49930555555555556,0.50625,0.48819444444444443,0.47708333333333336,,0.5263888888888889,0.51875,0.5270833333333333,0.48125,0.4791666666666667,0.48541666666666666,0.5041666666666667,0.0016,0.0024,0.0022,0.0022,0.0022,0.0023,,0.0021,0.0021,0.0021,0.0023,0.0023,0.0023,0.0023,,0.0047,0.0047,,,0.0046,,0.0046,,0.0047,0.0047,0.0047,0.0048,0.005
Gregg County,268,302,315,316,301,292,295,292,286,286,290,285,274,273,121730.0,123081.0,122658.0,123024.0,123204.0,124108.0,,123367.0,123707.0,123945.0,124239.0,124201.0,126243.0,126679.0,0.35694444444444445,0.325,0.31180555555555556,0.31180555555555556,0.32569444444444445,0.3368055555555556,,0.3347222222222222,0.3423611111111111,0.3423611111111111,0.3388888888888889,0.34444444444444444,0.36180555555555555,0.3638888888888889,0.0031,0.0037,0.0038,0.0037,0.0035,0.0033,,0.0032,0.0031,0.0031,0.0032,0.003,0.0028,0.0028,,0.0048,0.0047,,,0.0045,,0.0044,,0.0043,0.0043,0.0042,0.0042,0.0042
Grimes County,25,29,28,29,28,30,33,30,31,31,37,36,39,36,26604.0,26887.0,26783.0,26859.0,27172.0,27512.0,,28082.0,28360.0,28880.0,29268.0,30287.0,32384.0,33448.0,"1:1,064",0.6854166666666667,0.70625,0.6847222222222222,0.7152777777777778,0.6784722222222223,,0.6916666666666667,0.6770833333333334,0.6888888888888889,0.5909722222222222,0.6256944444444444,0.6180555555555556,0.6868055555555556,0.0003,0.0004,0.0003,0.0003,0.0003,0.0003,,0.0003,0.0003,0.0003,0.0004,0.0004,0.0004,0.0004,,0.001,0.001,,,0.001,,0.001,,0.001,0.001,0.001,0.0011,0.0011
Guadalupe County,114,131,128,140,137,141,146,150,159,159,168,181,197,197,131533.0,135757.0,139841.0,143183.0,147250.0,151249.0,,159659.0,163694.0,166847.0,172706.0,177036.0,188454.0,195166.0,"1:1,154","1:1,036","1:1,093","1:1,023","1:1,075","1:1,073",,"1:1,064","1:1,030","1:1,049","1:1,028",0.7208333333333333,0.70625,0.7298611111111111,0.0013,0.0016,0.0015,0.0017,0.0016,0.0016,,0.0016,0.0017,0.0017,0.0018,0.0019,0.002,0.002,,0.0053,0.0054,,,0.0055,,0.0056,,0.0058,0.006,0.006,0.0063,0.0065
Hale County,29,27,29,31,33,31,31,33,30,30,26,26,25,23,36273.0,36498.0,36385.0,35764.0,34720.0,34360.0,,34134.0,33830.0,33406.0,32522.0,32220.0,31761.0,31953.0,"1:1,251","1:1,352","1:1,255","1:1,154","1:1,052","1:1,108",,"1:1,034","1:1,128","1:1,114","1:1,251","1:1,239","1:1,270","1:1,389",0.0003,0.0003,0.0004,0.0004,0.0004,0.0004,,0.0004,0.0003,0.0003,0.0003,0.0003,0.0003,0.0002,,0.0014,0.0014,,,0.0013,,0.0012,,0.0012,0.0011,0.0011,0.0011,0.0011
Hall County,6,1,1,1,1,1,1,1,1,1,1,0,0,0,3353.0,3377.0,3293.0,3239.0,3147.0,3138.0,,3071.0,3028.0,2964.0,2825.0,2845.0,2818.0,2828.0,0.42986111111111114,"1:3,377","1:3,293","1:3,239","1:3,147","1:3,138",,"1:3,071","1:3,028","1:2,964","1:2,825",1:--,1:--,1: --,0.0001,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0001,0.0001,,,0.0001,,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001
Hamilton County,11,14,14,14,17,17,20,20,20,20,18,20,16,15,8517.0,8472.0,8307.0,8310.0,8199.0,8159.0,,8422.0,8484.0,8461.0,8222.0,8229.0,8619.0,8644.0,0.5791666666666667,0.4618055555555556,0.4534722222222222,0.45416666666666666,0.3763888888888889,0.375,,0.33402777777777776,0.33611111111111114,0.33541666666666664,0.3590277777777778,0.32708333333333334,0.41597222222222224,0.44166666666666665,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,,0.0003,0.0003,,,0.0003,,0.0003,,0.0003,0.0003,0.0003,0.0003,0.0003
Hansford County,7,6,5,6,6,6,6,5,6,6,4,4,5,5,5613.0,5577.0,5521.0,5555.0,5509.0,5610.0,,5447.0,5463.0,5399.0,5285.0,5159.0,5071.0,5006.0,0.5986111111111111,0.6875,"1:1,104",0.6847222222222222,0.6791666666666667,0.6909722222222222,,"1:1,089",0.6743055555555556,0.6666666666666666,"1:1,321","1:1,290","1:1,014","1:1,001",0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0,0.0,0.0001,0.0001,,0.0002,0.0002,,,0.0002,,0.0002,,0.0002,0.0002,0.0002,0.0002,0.0002
Hardeman County,5,4,3,3,4,4,4,4,4,4,5,4,3,3,4139.0,4176.0,4082.0,4016.0,3928.0,3840.0,,3994.0,3922.0,3933.0,3549.0,3552.0,3490.0,3417.0,0.6166666666666667,"1:1,044","1:1,361","1:1,339",0.7236111111111111,0.7083333333333334,,0.7354166666666667,0.7229166666666667,0.7243055555555555,0.5347222222222222,0.6583333333333333,"1:1,163","1:1,139",0.0001,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,,0.0002,0.0002,,,0.0001,,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001
Hardin County,59,59,61,57,59,59,54,56,50,50,53,51,53,55,54635.0,55246.0,55190.0,55417.0,55621.0,55865.0,,57139.0,57207.0,57602.0,56231.0,56973.0,58261.0,58670.0,0.6847222222222222,0.6916666666666667,0.6701388888888888,0.7166666666666667,0.6965277777777777,0.6993055555555555,,"1:1,020","1:1,144","1:1,152","1:1,061","1:1,117",0.8048611111111111,0.7826388888888889,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,,0.0006,0.0005,0.0005,0.0006,0.0005,0.0005,0.0006,,0.0022,0.0021,,,0.002,,0.002,,0.002,0.002,0.0019,0.0019,0.002
Harris County,21932,21688,22208,22824,23183,23379,23602,23747,23937,23937,24449,24688,25205,25667,4092459.0,4180894.0,4253700.0,4336853.0,4441370.0,4538028.0,,4652980.0,4698619.0,4713325.0,4731145.0,4728030.0,4835125.0,5009302.0,0.17152777777777778,0.17569444444444443,0.175,0.1736111111111111,0.175,0.1763888888888889,,0.17777777777777778,0.17777777777777778,0.17847222222222223,0.1763888888888889,0.175,0.175,0.17708333333333334,0.252,0.2689,0.2688,0.2692,0.268,0.2658,,0.261,0.2623,0.2623,0.268,0.2593,0.2603,0.2651,,0.1628,0.1632,,,0.1652,,0.1644,,0.1642,0.1648,0.1601,0.161,0.1668
Harrison County,69,83,89,93,93,90,91,92,89,89,87,81,79,75,65631.0,66296.0,67450.0,66886.0,67336.0,66746.0,,66661.0,66726.0,66553.0,68839.0,69150.0,70895.0,71370.0,0.7020833333333333,0.5965277777777778,0.5680555555555555,0.5409722222222222,0.5444444444444444,0.5569444444444445,,0.5451388888888888,0.5625,0.5611111111111111,0.5909722222222222,0.6347222222222222,0.6645833333333333,0.7027777777777777,0.0008,0.001,0.0011,0.0011,0.0011,0.001,,0.001,0.001,0.001,0.001,0.0009,0.0008,0.0008,,0.0026,0.0026,,,0.0024,,0.0024,,0.0023,0.0024,0.0023,0.0024,0.0024
Hartley County,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6062.0,5971.0,6144.0,6100.0,6089.0,6193.0,,5691.0,5619.0,5576.0,5382.0,5397.0,5145.0,4996.0,"1:2,021",1:--,1:--,1:--,1:--,1:--,,1:--,1:--,1:--,1:--,1:--,1:--,1: --,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0002,0.0002,,,0.0002,,0.0002,,0.0002,0.0002,0.0002,0.0002,0.0002
Haskell County,4,5,5,5,5,5,5,6,6,6,6,5,7,7,5899.0,5989.0,5901.0,5875.0,5769.0,5737.0,,5746.0,5813.0,5658.0,5416.0,5411.0,5385.0,5435.0,"1:1,475","1:1,198","1:1,180","1:1,175","1:1,154","1:1,147",,0.7069444444444445,0.7145833333333333,0.6965277777777777,0.66875,"1:1,082",0.5756944444444444,0.5805555555555556,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0002,0.0002,,,0.0002,,0.0002,,0.0002,0.0002,0.0002,0.0002,0.0002
Hays County,337,391,397,406,420,460,486,509,526,526,612,661,773,810,157107.0,164050.0,168990.0,176026.0,185025.0,194739.0,,214485.0,222631.0,230191.0,241067.0,255397.0,280486.0,292029.0,0.36527777777777776,0.3333333333333333,0.3375,0.34305555555555556,0.34791666666666665,0.33541666666666664,,0.33402777777777776,0.33541666666666664,0.3458333333333333,0.31527777777777777,0.30972222222222223,0.29375,0.2923611111111111,0.0039,0.0048,0.0048,0.0048,0.0049,0.0052,,0.0056,0.0058,0.0058,0.0067,0.0069,0.008,0.0084,,0.0064,0.0065,,,0.0071,,0.0076,,0.008,0.0084,0.0086,0.0093,0.0097
Hemphill County,4,4,4,5,6,5,5,509,5,5,4,5,5,6,3807.0,3970.0,4080.0,4158.0,4180.0,4264.0,,214485.0,3825.0,3819.0,3382.0,3271.0,3189.0,3134.0,0.7027777777777777,0.73125,"1:1,020",0.6194444444444445,0.5256944444444445,0.6340277777777777,,0.33402777777777776,0.5729166666666666,0.5722222222222222,0.6291666666666667,0.49583333333333335,0.4847222222222222,0.4041666666666667,0.0,0.0,0.0,0.0001,0.0001,0.0001,,0.0056,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,,0.0002,0.0002,,,0.0002,,0.0076,,0.0001,0.0001,0.0001,0.0001,0.0001
Henderson County,58,95,93,95,93,97,95,106,106,106,108,114,119,121,78532.0,78826.0,79094.0,78675.0,79290.0,79545.0,,81064.0,82299.0,82737.0,82150.0,83667.0,86158.0,87467.0,"1:1,354",0.6180555555555556,0.6319444444444444,0.6166666666666667,0.6340277777777777,0.6111111111111112,,0.5729166666666666,0.5805555555555556,0.5840277777777778,0.5701388888888889,0.5513888888888889,0.5444444444444444,0.54375,0.0007,0.0012,0.0011,0.0011,0.0011,0.0011,,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,,0.0031,0.003,,,0.0029,,0.0029,,0.0029,0.0029,0.0028,0.0029,0.0029
Hidalgo County,487,959,972,988,1005,1028,1058,1069,1082,1082,1109,1117,1132,1136,774769.0,797810.0,806552.0,815996.0,831073.0,842304.0,,860661.0,865939.0,868707.0,870781.0,880356.0,898471.0,914820.0,"1:1,591",0.6194444444444445,0.6180555555555556,0.6152777777777778,0.6159722222222223,0.6104166666666667,,0.6006944444444444,0.5972222222222222,0.5993055555555555,0.5868055555555556,0.5888888888888889,0.5930555555555556,0.6006944444444444,0.0056,0.0119,0.0118,0.0117,0.0116,0.0117,,0.0117,0.0119,0.0119,0.0122,0.0117,0.0117,0.0117,,0.0311,0.031,,,0.0307,,0.0304,,0.0303,0.0303,0.0298,0.0299,0.0305
Hill County,33,34,36,36,35,35,36,33,36,36,35,37,41,42,35089.0,35392.0,35115.0,34823.0,34848.0,34855.0,,35852.0,36354.0,36649.0,35874.0,36471.0,38101.0,38771.0,"1:1,064","1:1,041",0.71875,0.7131944444444445,0.7333333333333333,0.7333333333333333,,0.7958333333333333,"1:1,010","1:1,018","1:1,025",0.7263888888888889,0.6868055555555556,0.6826388888888889,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,,0.0014,0.0013,,,0.0013,,0.0013,,0.0013,0.0012,0.0012,0.0013,0.0013
Hockley County,25,16,17,17,17,16,16,16,19,19,16,19,,,22935.0,22892.0,23072.0,23530.0,23577.0,23433.0,,23088.0,22980.0,23021.0,21537.0,21363.0,,,0.6784722222222223,"1:1,431","1:1,357","1:1,384","1:1,387","1:1,465",,"1:1,443","1:1,209","1:1,212","1:1,346","1:1,124",,,0.0003,0.0002,0.0002,0.0002,0.0002,0.0002,,0.0002,0.0002,0.0002,0.0002,0.0002,,,,0.0009,0.0009,,,0.0009,,0.0008,,0.0008,0.0008,0.0007,,
Hood County,73,82,85,88,91,89,96,104,109,109,122,119,124,123,51182.0,51670.0,52044.0,52905.0,53921.0,55423.0,,58273.0,60537.0,61643.0,61598.0,64222.0,67774.0,69126.0,0.5284722222222222,0.4791666666666667,0.4666666666666667,0.45902777777777776,0.4534722222222222,0.47430555555555554,,0.4305555555555556,0.4270833333333333,0.43472222222222223,0.3923611111111111,0.4166666666666667,0.4215277777777778,0.43194444444444446,0.0008,0.001,0.001,0.001,0.0011,0.001,,0.0011,0.0012,0.0012,0.0013,0.0013,0.0013,0.0013,,0.002,0.002,,,0.002,,0.0021,,0.0021,0.0021,0.0022,0.0023,0.0023
Hopkins County,32,38,38,38,36,39,43,40,39,39,44,45,47,46,35161.0,35371.0,35469.0,35565.0,35921.0,36223.0,,36496.0,36810.0,37084.0,36787.0,37211.0,38172.0,38784.0,"1:1,099",0.6881944444444444,0.6895833333333333,0.6916666666666667,0.7347222222222223,0.6868055555555556,,0.675,0.6972222222222222,0.7020833333333333,0.6222222222222222,0.6159722222222223,0.6055555555555555,0.6270833333333333,0.0004,0.0005,0.0005,0.0004,0.0004,0.0004,,0.0004,0.0004,0.0004,0.0005,0.0005,0.0005,0.0005,,0.0014,0.0014,,,0.0013,,0.0013,,0.0013,0.0013,0.0013,0.0013,0.0013
Houston County,16,20,20,22,17,18,19,23,22,22,21,19,19,22,23732.0,23484.0,23161.0,22911.0,22741.0,22785.0,,23021.0,23169.0,22968.0,22066.0,22241.0,22066.0,22197.0,"1:1,483","1:1,174","1:1,158","1:1,041","1:1,338","1:1,266",,"1:1,001","1:1,053","1:1,044","1:1,051","1:1,171","1:1,161","1:1,009",0.0002,0.0002,0.0002,0.0003,0.0002,0.0002,,0.0003,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,,0.0009,0.0009,,,0.0008,,0.0008,,0.0008,0.0008,0.0008,0.0007,0.0007
Howard County,36,20,20,22,21,23,24,22,21,21,21,20,19,20,35012.0,35122.0,35408.0,36147.0,36651.0,37206.0,,36040.0,36459.0,36664.0,34860.0,34128.0,30554.0,30833.0,0.7173611111111111,"1:1,756","1:1,770","1:1,643","1:1,745","1:1,618",,"1:1,638","1:1,736","1:1,746","1:1,660","1:1,706","1:1,608","1:1,542",0.0004,0.0002,0.0002,0.0003,0.0002,0.0003,,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,,0.0014,0.0014,,,0.0014,,0.0013,,0.0013,0.0012,0.0012,0.001,0.001
Hudspeth County,2,1,1,1,2,0,0,0,0,0,0,2,1,1,3476.0,3423.0,3337.0,3318.0,3211.0,3379.0,,4408.0,4795.0,4886.0,3202.0,3287.0,3451.0,3608.0,"1:1,738","1:3,423","1:3,337","1:3,318","1:1,606",1:--,,1:--,1:--,1:--,1:--,"1:1,644",2.4381944444444446,2.547222222222222,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0001,0.0001,,,0.0001,,0.0002,,0.0002,0.0001,0.0001,0.0001,0.0001
Hunt County,56,68,66,72,71,75,75,74,72,72,70,73,88,88,86129.0,86531.0,87079.0,87048.0,88493.0,89844.0,,93872.0,96493.0,98594.0,99956.0,103394.0,113347.0,118729.0,"1:1,538","1:1,273","1:1,319","1:1,209","1:1,246","1:1,198",,"1:1,269","1:1,340","1:1,369","1:1,428","1:1,416",0.9361111111111111,0.9784722222222222,0.0006,0.0008,0.0008,0.0008,0.0008,0.0009,,0.0008,0.0008,0.0008,0.0008,0.0008,0.0009,0.0009,,0.0034,0.0033,,,0.0033,,0.0033,,0.0034,0.0035,0.0035,0.0038,0.004
Hutchinson County,21,23,20,19,19,19,19,18,17,17,16,15,15,13,22150.0,22132.0,21922.0,21819.0,21773.0,21734.0,,21375.0,21198.0,20938.0,20617.0,20495.0,20033.0,19721.0,"1:1,055",0.7097222222222223,"1:1,096","1:1,148","1:1,146","1:1,144",,"1:1,188","1:1,247","1:1,232","1:1,289","1:1,366","1:1,336","1:1,517",0.0002,0.0003,0.0002,0.0002,0.0002,0.0002,,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,,0.0009,0.0008,,,0.0008,,0.0008,,0.0007,0.0007,0.0007,0.0007,0.0007
Irion County,1,0,1,0,0,1,1,2,2,2,2,3,2,2,1599.0,1620.0,1573.0,1612.0,1574.0,1554.0,,1516.0,1522.0,1536.0,1513.0,1552.0,1549.0,1526.0,"1:1,599",1:--,"1:1,573",1:--,1:--,"1:1,554",,0.5680555555555555,0.5701388888888889,0.575,0.5673611111111111,0.40069444444444446,0.5798611111111112,0.5715277777777777,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0001,0.0001,,,0.0001,,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001
Jack County,7,9,8,8,8,7,9,8,8,8,8,8,9,10,9044.0,9035.0,8983.0,8957.0,8855.0,8878.0,,8832.0,8843.0,8935.0,8472.0,8712.0,8875.0,9398.0,"1:1,292","1:1,004","1:1,123","1:1,120","1:1,107","1:1,268",,"1:1,104","1:1,105","1:1,117","1:1,059","1:1,089",0.7263888888888889,0.6944444444444444,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0004,0.0003,,,0.0003,,0.0003,,0.0003,0.0003,0.0003,0.0003,0.0003
Jackson County,17,11,9,11,12,15,14,14,14,14,14,15,16,16,14075.0,14032.0,14255.0,14591.0,14739.0,14816.0,,14805.0,14874.0,14760.0,14988.0,15121.0,15221.0,15284.0,0.6166666666666667,"1:1,276","1:1,584","1:1,326","1:1,228",0.7277777777777777,,"1:1,058","1:1,062","1:1,054","1:1,071","1:1,008",0.7020833333333333,0.7048611111111112,0.0002,0.0001,0.0001,0.0001,0.0001,0.0002,,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,,0.0005,0.0005,,,0.0005,,0.0005,,0.0005,0.0005,0.0005,0.0005,0.0005
Jasper County,23,28,27,27,28,27,27,28,29,29,29,31,31,34,25938.0,36296.0,35923.0,35649.0,35552.0,35506.0,,35561.0,35872.0,35529.0,32980.0,32975.0,32694.0,32907.0,"1:1,128","1:1,296","1:1,330","1:1,320","1:1,270","1:1,315",,"1:1,270","1:1,237","1:1,225","1:1,137","1:1,064","1:1,055",0.7138888888888889,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0004,,0.0014,0.0014,,,0.0013,,0.0013,,0.0012,0.0011,0.0011,0.0011,0.0011
Jeff Davis County,2,7,7,7,8,8,8,8,9,9,11,10,8,7,2342.0,2288.0,2307.0,2253.0,2204.0,2156.0,,2280.0,2252.0,2274.0,1996.0,1949.0,1856.0,1778.0,"1:1,171",0.26875,0.2708333333333333,0.2652777777777778,0.23333333333333334,0.22916666666666666,,0.23958333333333334,0.2152777777777778,0.21736111111111112,0.1673611111111111,0.17708333333333334,0.20277777777777778,0.21805555555555556,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,,,0.0001,,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001
Jefferson County,564,674,674,655,660,656,644,637,631,631,608,594,585,587,252273.0,252802.0,251813.0,252358.0,252235.0,254308.0,,256299.0,255001.0,251565.0,256526.0,253704.0,251496.0,253948.0,0.35208333333333336,0.3020833333333333,0.3013888888888889,0.3090277777777778,0.30694444444444446,0.3111111111111111,,0.32083333333333336,0.32222222222222224,0.31875,0.3347222222222222,0.33819444444444446,0.3402777777777778,0.3423611111111111,0.0065,0.0084,0.0082,0.0077,0.0076,0.0075,,0.007,0.0069,0.0069,0.0067,0.0062,0.006,0.0061,,0.0098,0.0097,,,0.0093,,0.0091,,0.0088,0.0089,0.0086,0.0084,0.0085
